Date,Ingredient,Consumption,Stock_Level,Purchase_Date,Expiration_Date,Shelf_Life_Days
2022-01-02,Potato,51540.0,5000.0,2022-01-02,2022-01-12,10
2022-01-02,Oil,4584.0,5000.0,2022-01-02,2022-04-02,90
2022-01-02,Butter,4404.0,1379.0,2022-01-01,2022-01-31,30
2022-01-02,Salt,1975.1999999999996,708.8000000000004,2021-12-25,2022-12-25,365
2022-01-02,Salt,1975.1999999999996,5000.0,2022-01-02,2023-01-02,365
2022-01-02,Cream,19140.0,5000.0,2022-01-02,2022-01-16,14
2022-01-02,Mango,7320.0,5000.0,2022-01-02,2022-01-12,10
2022-01-02,Syrup_Zero,3300.0,1700.0,2022-01-01,2022-06-30,180
2022-01-02,Veggie_Patty,31848.0,5000.0,2022-01-02,2022-02-01,30
2022-01-02,Oreo,4356.0,644.0,2022-01-01,2022-06-30,180
2022-01-02,Oreo,4356.0,5000.0,2022-01-02,2022-07-01,180
2022-01-02,Paneer,12119.999999999998,5000.0,2022-01-02,2022-01-09,7
2022-01-02,Chocolate,3384.0,2191.0,2022-01-01,2023-01-01,365
2022-01-02,Flour,13260.0,5000.0,2022-01-02,2022-07-01,180
2022-01-02,Pepper,608.3999999999999,2354.6000000000004,2021-12-25,2022-12-25,365
2022-01-02,Garlic_Powder,242.39999999999998,4463.6,2021-12-25,2022-12-25,365
2022-01-02,Sugar,18312.0,5000.0,2022-01-02,2023-01-02,365
2022-01-02,Apple,7200.0,5000.0,2022-01-02,2022-02-01,30
2022-01-02,Strawberry,10680.0,5000.0,2022-01-02,2022-01-12,10
2022-01-02,Water,51840.0,5000.0,2022-01-02,2023-01-02,365
2022-01-02,Paprika,363.59999999999997,2985.9,2021-12-25,2022-12-25,365
2022-01-02,Masala_Mix,1710.0,5000.0,2022-01-02,2023-01-02,365
2022-01-02,Syrup,4560.0,5000.0,2022-01-02,2022-07-01,180
2022-01-02,Lettuce,7548.0,5000.0,2022-01-02,2022-01-09,7
2022-01-02,Bread_Crumbs,3504.0,5000.0,2022-01-02,2022-07-01,180
2022-01-02,Milk,65280.0,5000.0,2022-01-02,2022-01-09,7
2022-01-02,Syrup_Sprite,3540.0,1460.0,2022-01-01,2022-06-30,180
2022-01-02,Bun,33660.0,100.0,2022-01-02,2022-01-09,7
2022-01-03,Tomato,7505.0,5000.0,2022-01-03,2022-01-17,14
2022-01-03,Syrup_Diet,1600.0,1840.0,2022-01-01,2022-06-30,180
2022-01-03,Cocoa,1960.0,5000.0,2022-01-03,2023-01-03,365
2022-01-03,Egg,11520.0,100.0,2022-01-03,2022-01-08,5
2022-01-03,Potato,35030.0,5000.0,2022-01-03,2022-01-13,10
2022-01-03,Oil,2320.0,2680.0,2022-01-02,2022-04-02,90
2022-01-03,Butter,2700.0,5000.0,2022-01-03,2022-02-02,30
2022-01-03,Salt,1153.0,4555.8,2022-01-02,2023-01-02,365
2022-01-03,Cream,10100.0,5000.0,2022-01-03,2022-01-17,14
2022-01-03,Mango,12300.0,5000.0,2022-01-03,2022-01-13,10
2022-01-03,Syrup_Zero,4750.0,5000.0,2022-01-03,2022-07-02,180
2022-01-03,Veggie_Patty,17500.0,5000.0,2022-01-03,2022-02-02,30
2022-01-03,Oreo,960.0,4684.0,2022-01-02,2022-07-01,180
2022-01-03,Paneer,14700.0,5000.0,2022-01-03,2022-01-10,7
2022-01-03,Chocolate,4020.0,5000.0,2022-01-03,2023-01-03,365
2022-01-03,Flour,8600.0,5000.0,2022-01-03,2022-07-02,180
2022-01-03,Pepper,494.0,1860.6000000000004,2021-12-25,2022-12-25,365
2022-01-03,Garlic_Powder,294.0,4169.6,2021-12-25,2022-12-25,365
2022-01-03,Sugar,12480.0,5000.0,2022-01-03,2023-01-03,365
2022-01-03,Apple,5920.0,5000.0,2022-01-03,2022-02-02,30
2022-01-03,Strawberry,7800.0,5000.0,2022-01-03,2022-01-13,10
2022-01-03,Water,69000.0,5000.0,2022-01-03,2023-01-03,365
2022-01-03,Paprika,441.0,2544.9,2021-12-25,2022-12-25,365
2022-01-03,Masala_Mix,1730.0,3270.0,2022-01-02,2023-01-02,365
2022-01-03,Syrup,7150.0,5000.0,2022-01-03,2022-07-02,180
2022-01-03,Lettuce,5550.0,5000.0,2022-01-03,2022-01-10,7
2022-01-03,Bread_Crumbs,1160.0,3840.0,2022-01-02,2022-07-01,180
2022-01-03,Milk,50350.0,5000.0,2022-01-03,2022-01-10,7
2022-01-03,Syrup_Sprite,3750.0,5000.0,2022-01-03,2022-07-02,180
2022-01-03,Bun,28050.0,100.0,2022-01-03,2022-01-10,7
2022-01-04,Tomato,8820.0,5000.0,2022-01-04,2022-01-18,14
2022-01-04,Syrup_Diet,1450.0,390.0,2022-01-01,2022-06-30,180
2022-01-04,Syrup_Diet,1450.0,5000.0,2022-01-04,2022-07-03,180
2022-01-04,Cocoa,2300.0,2700.0,2022-01-03,2023-01-03,365
2022-01-04,Egg,16500.0,100.0,2022-01-04,2022-01-09,5
2022-01-04,Potato,30480.0,5000.0,2022-01-04,2022-01-14,10
2022-01-04,Oil,2790.0,5000.0,2022-01-04,2022-04-04,90
2022-01-04,Butter,2680.0,2320.0,2022-01-03,2022-02-02,30
2022-01-04,Salt,1429.0,3126.8,2022-01-02,2023-01-02,365
2022-01-04,Cream,10250.0,5000.0,2022-01-04,2022-01-18,14
2022-01-04,Mango,4000.0,1000.0,2022-01-03,2022-01-13,10
2022-01-04,Syrup_Zero,5500.0,5000.0,2022-01-04,2022-07-03,180
2022-01-04,Veggie_Patty,29540.0,5000.0,2022-01-04,2022-02-03,30
2022-01-04,Oreo,2640.0,2044.0,2022-01-02,2022-07-01,180
2022-01-04,Paneer,11800.0,5000.0,2022-01-04,2022-01-11,7
2022-01-04,Chocolate,2850.0,2150.0,2022-01-03,2023-01-03,365
2022-01-04,Flour,7650.0,5000.0,2022-01-04,2022-07-03,180
2022-01-04,Pepper,583.0,1277.6000000000004,2021-12-25,2022-12-25,365
2022-01-04,Garlic_Powder,236.0,3933.6000000000004,2021-12-25,2022-12-25,365
2022-01-04,Sugar,9510.0,5000.0,2022-01-04,2023-01-04,365
2022-01-04,Apple,3040.0,1960.0,2022-01-03,2022-02-02,30
2022-01-04,Strawberry,2000.0,3000.0,2022-01-03,2022-01-13,10
2022-01-04,Water,64800.0,5000.0,2022-01-04,2023-01-04,365
2022-01-04,Paprika,354.0,2190.9,2021-12-25,2022-12-25,365
2022-01-04,Masala_Mix,1655.0,1615.0,2022-01-02,2023-01-02,365
2022-01-04,Syrup,5250.0,5000.0,2022-01-04,2022-07-03,180
2022-01-04,Lettuce,6450.0,5000.0,2022-01-04,2022-01-11,7
2022-01-04,Bread_Crumbs,2980.0,860.0,2022-01-02,2022-07-01,180
2022-01-04,Bread_Crumbs,2980.0,5000.0,2022-01-04,2022-07-03,180
2022-01-04,Milk,29500.0,5000.0,2022-01-04,2022-01-11,7
2022-01-04,Syrup_Sprite,4000.0,1000.0,2022-01-03,2022-07-02,180
2022-01-04,Bun,33400.0,100.0,2022-01-04,2022-01-11,7
2022-01-05,Tomato,8520.0,5000.0,2022-01-05,2022-01-19,14
2022-01-05,Syrup_Diet,3250.0,2140.0,2022-01-04,2022-07-03,180
2022-01-05,Cocoa,1540.0,1160.0,2022-01-03,2023-01-03,365
2022-01-05,Egg,9540.0,100.0,2022-01-05,2022-01-10,5
2022-01-05,Potato,35670.0,5000.0,2022-01-05,2022-01-15,10
2022-01-05,Oil,1530.0,3470.0,2022-01-04,2022-04-04,90
2022-01-05,Butter,2580.0,5000.0,2022-01-05,2022-02-04,30
2022-01-05,Salt,1280.0,1846.8000000000002,2022-01-02,2023-01-02,365
2022-01-05,Cream,12650.0,5000.0,2022-01-05,2022-01-19,14
2022-01-05,Mango,4500.0,5000.0,2022-01-05,2022-01-15,10
2022-01-05,Syrup_Zero,1850.0,3150.0,2022-01-04,2022-07-03,180
2022-01-05,Veggie_Patty,19700.0,5000.0,2022-01-05,2022-02-04,30
2022-01-05,Oreo,3720.0,5000.0,2022-01-05,2022-07-04,180
2022-01-05,Paneer,13900.0,5000.0,2022-01-05,2022-01-12,7
2022-01-05,Chocolate,2670.0,5000.0,2022-01-05,2023-01-05,365
2022-01-05,Flour,9050.0,5000.0,2022-01-05,2022-07-04,180
2022-01-05,Pepper,442.0,835.6000000000004,2021-12-25,2022-12-25,365
2022-01-05,Pepper,442.0,5000.0,2022-01-05,2023-01-05,365
2022-01-05,Garlic_Powder,278.0,3655.6000000000004,2021-12-25,2022-12-25,365
2022-01-05,Sugar,11110.0,5000.0,2022-01-05,2023-01-05,365
2022-01-05,Apple,8320.0,5000.0,2022-01-05,2022-02-04,30
2022-01-05,Strawberry,3800.0,5000.0,2022-01-05,2022-01-15,10
2022-01-05,Water,35400.0,5000.0,2022-01-05,2023-01-05,365
2022-01-05,Paprika,417.0,1773.9,2021-12-25,2022-12-25,365
2022-01-05,Masala_Mix,2755.0,5000.0,2022-01-05,2023-01-05,365
2022-01-05,Syrup,1300.0,3700.0,2022-01-04,2022-07-03,180
2022-01-05,Lettuce,6310.0,5000.0,2022-01-05,2022-01-12,7
2022-01-05,Bread_Crumbs,1200.0,4660.0,2022-01-04,2022-07-03,180
2022-01-05,Milk,37750.0,5000.0,2022-01-05,2022-01-12,7
2022-01-05,Syrup_Sprite,2450.0,5000.0,2022-01-05,2022-07-04,180
2022-01-05,Bun,34050.0,100.0,2022-01-05,2022-01-12,7
2022-01-06,Tomato,7915.0,5000.0,2022-01-06,2022-01-20,14
2022-01-06,Syrup_Diet,6300.0,5000.0,2022-01-06,2022-07-05,180
2022-01-06,Cocoa,480.0,680.0,2022-01-03,2023-01-03,365
2022-01-06,Cocoa,480.0,5000.0,2022-01-06,2023-01-06,365
2022-01-06,Egg,11700.0,100.0,2022-01-06,2022-01-11,5
2022-01-06,Potato,36050.0,5000.0,2022-01-06,2022-01-16,10
2022-01-06,Oil,3280.0,190.0,2022-01-04,2022-04-04,90
2022-01-06,Oil,3280.0,5000.0,2022-01-06,2022-04-06,90
2022-01-06,Butter,840.0,4160.0,2022-01-05,2022-02-04,30
2022-01-06,Salt,1470.0,376.8000000000002,2022-01-02,2023-01-02,365
2022-01-06,Salt,1470.0,5000.0,2022-01-06,2023-01-06,365
2022-01-06,Cream,11500.0,5000.0,2022-01-06,2022-01-20,14
2022-01-06,Mango,11500.0,5000.0,2022-01-06,2022-01-16,10
2022-01-06,Syrup_Zero,6750.0,5000.0,2022-01-06,2022-07-05,180
2022-01-06,Veggie_Patty,25320.0,5000.0,2022-01-06,2022-02-05,30
2022-01-06,Oreo,960.0,4040.0,2022-01-05,2022-07-04,180
2022-01-06,Paneer,10800.0,5000.0,2022-01-06,2022-01-13,7
2022-01-06,Chocolate,4020.0,980.0,2022-01-05,2023-01-05,365
2022-01-06,Chocolate,4020.0,5000.0,2022-01-06,2023-01-06,365
2022-01-06,Flour,3000.0,2000.0,2022-01-05,2022-07-04,180
2022-01-06,Pepper,485.0,350.60000000000036,2021-12-25,2022-12-25,365
2022-01-06,Pepper,485.0,5000.0,2022-01-05,2023-01-05,365
2022-01-06,Garlic_Powder,216.0,3439.6000000000004,2021-12-25,2022-12-25,365
2022-01-06,Sugar,10040.0,5000.0,2022-01-06,2023-01-06,365
2022-01-06,Apple,2880.0,2120.0,2022-01-05,2022-02-04,30
2022-01-06,Strawberry,8500.0,5000.0,2022-01-06,2022-01-16,10
2022-01-06,Water,90400.0,5000.0,2022-01-06,2023-01-06,365
2022-01-06,Paprika,324.0,1449.9,2021-12-25,2022-12-25,365
2022-01-06,Masala_Mix,1495.0,3505.0,2022-01-05,2023-01-05,365
2022-01-06,Syrup,2850.0,850.0,2022-01-04,2022-07-03,180
2022-01-06,Syrup,2850.0,5000.0,2022-01-06,2022-07-05,180
2022-01-06,Lettuce,5780.0,5000.0,2022-01-06,2022-01-13,7
2022-01-06,Bread_Crumbs,2620.0,2040.0,2022-01-04,2022-07-03,180
2022-01-06,Milk,53000.0,5000.0,2022-01-06,2022-01-13,7
2022-01-06,Syrup_Sprite,6700.0,5000.0,2022-01-06,2022-07-05,180
2022-01-06,Bun,28100.0,100.0,2022-01-06,2022-01-13,7
2022-01-07,Tomato,7615.0,5000.0,2022-01-07,2022-01-21,14
2022-01-07,Syrup_Diet,3450.0,1550.0,2022-01-06,2022-07-05,180
2022-01-07,Cocoa,600.0,80.0,2022-01-03,2023-01-03,365
2022-01-07,Cocoa,600.0,5000.0,2022-01-06,2023-01-06,365
2022-01-07,Egg,11040.0,100.0,2022-01-07,2022-01-12,5
2022-01-07,Potato,37790.0,5000.0,2022-01-07,2022-01-17,10
2022-01-07,Oil,2470.0,2720.0,2022-01-06,2022-04-06,90
2022-01-07,Butter,1440.0,2720.0,2022-01-05,2022-02-04,30
2022-01-07,Salt,1413.0,3963.8,2022-01-06,2023-01-06,365
2022-01-07,Cream,11050.0,5000.0,2022-01-07,2022-01-21,14
2022-01-07,Mango,7500.0,5000.0,2022-01-07,2022-01-17,10
2022-01-07,Syrup_Zero,3700.0,1300.0,2022-01-06,2022-07-05,180
2022-01-07,Veggie_Patty,22100.0,5000.0,2022-01-07,2022-02-06,30
2022-01-07,Oreo,1350.0,2690.0,2022-01-05,2022-07-04,180
2022-01-07,Paneer,8900.0,5000.0,2022-01-07,2022-01-14,7
2022-01-07,Chocolate,4050.0,1930.0,2022-01-06,2023-01-06,365
2022-01-07,Flour,5700.0,5000.0,2022-01-07,2022-07-06,180
2022-01-07,Pepper,487.0,4863.6,2022-01-05,2023-01-05,365
2022-01-07,Garlic_Powder,178.0,3261.6000000000004,2021-12-25,2022-12-25,365
2022-01-07,Sugar,10540.0,5000.0,2022-01-07,2023-01-07,365
2022-01-07,Apple,6720.0,5000.0,2022-01-07,2022-02-06,30
2022-01-07,Strawberry,10200.0,5000.0,2022-01-07,2022-01-17,10
2022-01-07,Water,54200.0,5000.0,2022-01-07,2023-01-07,365
2022-01-07,Paprika,267.0,1182.9,2021-12-25,2022-12-25,365
2022-01-07,Masala_Mix,2375.0,1130.0,2022-01-05,2023-01-05,365
2022-01-07,Syrup,4300.0,1550.0,2022-01-06,2022-07-05,180
2022-01-07,Lettuce,5590.0,5000.0,2022-01-07,2022-01-14,7
2022-01-07,Bread_Crumbs,2440.0,5000.0,2022-01-07,2022-07-06,180
2022-01-07,Milk,48650.0,5000.0,2022-01-07,2022-01-14,7
2022-01-07,Syrup_Sprite,2100.0,2900.0,2022-01-06,2022-07-05,180
2022-01-07,Bun,31000.0,100.0,2022-01-07,2022-01-14,7
2022-01-08,Tomato,8610.0,5000.0,2022-01-08,2022-01-22,14
2022-01-08,Syrup_Diet,2760.0,5000.0,2022-01-08,2022-07-07,180
2022-01-08,Cocoa,792.0,4288.0,2022-01-06,2023-01-06,365
2022-01-08,Egg,8352.0,100.0,2022-01-08,2022-01-13,5
2022-01-08,Potato,44556.0,5000.0,2022-01-08,2022-01-18,10
2022-01-08,Oil,3312.0,5000.0,2022-01-08,2022-04-08,90
2022-01-08,Butter,2460.0,260.0,2022-01-05,2022-02-04,30
2022-01-08,Butter,2460.0,5000.0,2022-01-08,2022-02-07,30
2022-01-08,Salt,1446.0,2517.8,2022-01-06,2023-01-06,365
2022-01-08,Cream,8640.0,5000.0,2022-01-08,2022-01-22,14
2022-01-08,Mango,16920.0,5000.0,2022-01-08,2022-01-18,10
2022-01-08,Syrup_Zero,3479.9999999999995,5000.0,2022-01-08,2022-07-07,180
2022-01-08,Veggie_Patty,17976.0,5000.0,2022-01-08,2022-02-07,30
2022-01-08,Oreo,1368.0,1322.0,2022-01-05,2022-07-04,180
2022-01-08,Paneer,13919.999999999998,5000.0,2022-01-08,2022-01-15,7
2022-01-08,Chocolate,1044.0,886.0,2022-01-06,2023-01-06,365
2022-01-08,Chocolate,1044.0,5000.0,2022-01-08,2023-01-08,365
2022-01-08,Flour,10320.0,5000.0,2022-01-08,2022-07-07,180
2022-01-08,Pepper,414.0,4449.6,2022-01-05,2023-01-05,365
2022-01-08,Garlic_Powder,278.4,2983.2000000000003,2021-12-25,2022-12-25,365
2022-01-08,Sugar,13812.0,5000.0,2022-01-08,2023-01-08,365
2022-01-08,Apple,13343.999999999998,5000.0,2022-01-08,2022-02-07,30
2022-01-08,Strawberry,12240.0,5000.0,2022-01-08,2022-01-18,10
2022-01-08,Water,78480.0,5000.0,2022-01-08,2023-01-08,365
2022-01-08,Paprika,417.59999999999997,765.3000000000002,2021-12-25,2022-12-25,365
2022-01-08,Paprika,417.59999999999997,5000.0,2022-01-08,2023-01-08,365
2022-01-08,Masala_Mix,1722.0,5000.0,2022-01-08,2023-01-08,365
2022-01-08,Syrup,7739.999999999999,5000.0,2022-01-08,2022-07-07,180
2022-01-08,Lettuce,6324.0,5000.0,2022-01-08,2022-01-15,7
2022-01-08,Bread_Crumbs,2400.0,2600.0,2022-01-07,2022-07-06,180
2022-01-08,Milk,61020.0,5000.0,2022-01-08,2022-01-15,7
2022-01-08,Syrup_Sprite,5640.0,5000.0,2022-01-08,2022-07-07,180
2022-01-08,Bun,26339.999999999996,100.0,2022-01-08,2022-01-15,7
2022-01-09,Tomato,4890.0,110.0,2022-01-08,2022-01-22,14
2022-01-09,Tomato,4890.0,5000.0,2022-01-09,2022-01-23,14
2022-01-09,Syrup_Diet,6000.0,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Cocoa,1800.0,2488.0,2022-01-06,2023-01-06,365
2022-01-09,Egg,5184.0,100.0,2022-01-09,2022-01-14,5
2022-01-09,Potato,45336.0,5000.0,2022-01-09,2022-01-19,10
2022-01-09,Oil,3852.0,1148.0,2022-01-08,2022-04-08,90
2022-01-09,Butter,3168.0,2092.0,2022-01-08,2022-02-07,30
2022-01-09,Salt,1627.2000000000003,890.5999999999999,2022-01-06,2023-01-06,365
2022-01-09,Salt,1627.2000000000003,5000.0,2022-01-09,2023-01-09,365
2022-01-09,Cream,13799.999999999998,5000.0,2022-01-09,2022-01-23,14
2022-01-09,Mango,13079.999999999998,5000.0,2022-01-09,2022-01-19,10
2022-01-09,Syrup_Zero,8280.0,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Veggie_Patty,26136.0,5000.0,2022-01-09,2022-02-08,30
2022-01-09,Oreo,4176.0,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Paneer,3960.0,1040.0,2022-01-08,2022-01-15,7
2022-01-09,Chocolate,2880.0,3006.0,2022-01-08,2023-01-08,365
2022-01-09,Flour,11340.0,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Pepper,429.5999999999999,4020.0000000000005,2022-01-05,2023-01-05,365
2022-01-09,Garlic_Powder,79.2,2904.0000000000005,2021-12-25,2022-12-25,365
2022-01-09,Sugar,16260.0,5000.0,2022-01-09,2023-01-09,365
2022-01-09,Apple,10943.999999999998,5000.0,2022-01-09,2022-02-08,30
2022-01-09,Strawberry,13440.0,5000.0,2022-01-09,2022-01-19,10
2022-01-09,Water,100320.0,5000.0,2022-01-09,2023-01-09,365
2022-01-09,Paprika,118.80000000000001,646.5000000000002,2021-12-25,2022-12-25,365
2022-01-09,Paprika,118.80000000000001,5000.0,2022-01-08,2023-01-08,365
2022-01-09,Masala_Mix,2046.0,2954.0,2022-01-08,2023-01-08,365
2022-01-09,Syrup,2940.0,2060.0,2022-01-08,2022-07-07,180
2022-01-09,Lettuce,3630.0,1370.0,2022-01-08,2022-01-15,7
2022-01-09,Bread_Crumbs,2904.0,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Milk,67380.0,5000.0,2022-01-09,2022-01-16,7
2022-01-09,Syrup_Sprite,7859.999999999999,5000.0,2022-01-09,2022-07-08,180
2022-01-09,Bun,23580.0,100.0,2022-01-09,2022-01-16,7
2022-01-10,Tomato,2430.0,2680.0,2022-01-09,2022-01-23,14
2022-01-10,Syrup_Diet,5600.0,5000.0,2022-01-10,2022-07-09,180
2022-01-10,Cocoa,1940.0,548.0,2022-01-06,2023-01-06,365
2022-01-10,Cocoa,1940.0,5000.0,2022-01-10,2023-01-10,365
2022-01-10,Egg,10200.0,100.0,2022-01-10,2022-01-15,5
2022-01-10,Potato,40130.0,5000.0,2022-01-10,2022-01-20,10
2022-01-10,Oil,2630.0,5000.0,2022-01-10,2022-04-10,90
2022-01-10,Butter,3190.0,5000.0,2022-01-10,2022-02-09,30
2022-01-10,Salt,1255.0,4635.6,2022-01-09,2023-01-09,365
2022-01-10,Cream,9950.0,5000.0,2022-01-10,2022-01-24,14
2022-01-10,Mango,3600.0,1400.0,2022-01-09,2022-01-19,10
2022-01-10,Syrup_Zero,4250.0,750.0,2022-01-09,2022-07-08,180
2022-01-10,Syrup_Zero,4250.0,5000.0,2022-01-10,2022-07-09,180
2022-01-10,Veggie_Patty,17120.0,5000.0,2022-01-10,2022-02-09,30
2022-01-10,Oreo,1410.0,3590.0,2022-01-09,2022-07-08,180
2022-01-10,Paneer,3400.0,5000.0,2022-01-10,2022-01-17,7
2022-01-10,Chocolate,1500.0,1506.0,2022-01-08,2023-01-08,365
2022-01-10,Flour,11100.0,5000.0,2022-01-10,2022-07-09,180
2022-01-10,Pepper,265.0,3755.0000000000005,2022-01-05,2023-01-05,365
2022-01-10,Garlic_Powder,68.0,2836.0000000000005,2021-12-25,2022-12-25,365
2022-01-10,Sugar,11550.0,5000.0,2022-01-10,2023-01-10,365
2022-01-10,Apple,10000.0,5000.0,2022-01-10,2022-02-09,30
2022-01-10,Strawberry,7200.0,5000.0,2022-01-10,2022-01-20,10
2022-01-10,Water,65000.0,5000.0,2022-01-10,2023-01-10,365
2022-01-10,Paprika,102.0,544.5000000000002,2021-12-25,2022-12-25,365
2022-01-10,Paprika,102.0,5000.0,2022-01-08,2023-01-08,365
2022-01-10,Masala_Mix,1815.0,1139.0,2022-01-08,2023-01-08,365
2022-01-10,Syrup,3550.0,5000.0,2022-01-10,2022-07-09,180
2022-01-10,Lettuce,1780.0,5000.0,2022-01-10,2022-01-17,7
2022-01-10,Bread_Crumbs,1740.0,3260.0,2022-01-09,2022-07-08,180
2022-01-10,Milk,36100.0,5000.0,2022-01-10,2022-01-17,7
2022-01-10,Syrup_Sprite,2850.0,2150.0,2022-01-09,2022-07-08,180
2022-01-10,Bun,20600.0,100.0,2022-01-10,2022-01-17,7
2022-01-11,Tomato,4745.0,5000.0,2022-01-11,2022-01-25,14
2022-01-11,Syrup_Diet,3350.0,1650.0,2022-01-10,2022-07-09,180
2022-01-11,Cocoa,660.0,4888.0,2022-01-10,2023-01-10,365
2022-01-11,Egg,7680.0,100.0,2022-01-11,2022-01-16,5
2022-01-11,Potato,20020.0,5000.0,2022-01-11,2022-01-21,10
2022-01-11,Oil,2180.0,2820.0,2022-01-10,2022-04-10,90
2022-01-11,Butter,1610.0,3390.0,2022-01-10,2022-02-09,30
2022-01-11,Salt,960.0,3675.6000000000004,2022-01-09,2023-01-09,365
2022-01-11,Cream,14450.0,5000.0,2022-01-11,2022-01-25,14
2022-01-11,Mango,14800.0,5000.0,2022-01-11,2022-01-21,10
2022-01-11,Syrup_Zero,1950.0,3800.0,2022-01-10,2022-07-09,180
2022-01-11,Veggie_Patty,20780.0,5000.0,2022-01-11,2022-02-10,30
2022-01-11,Oreo,3180.0,410.0,2022-01-09,2022-07-08,180
2022-01-11,Oreo,3180.0,5000.0,2022-01-11,2022-07-10,180
2022-01-11,Paneer,3500.0,1500.0,2022-01-10,2022-01-17,7
2022-01-11,Chocolate,3750.0,5000.0,2022-01-11,2023-01-11,365
2022-01-11,Flour,6400.0,5000.0,2022-01-11,2022-07-10,180
2022-01-11,Pepper,332.0,3423.0000000000005,2022-01-05,2023-01-05,365
2022-01-11,Garlic_Powder,70.0,2766.0000000000005,2021-12-25,2022-12-25,365
2022-01-11,Sugar,12330.0,5000.0,2022-01-11,2023-01-11,365
2022-01-11,Apple,7600.0,5000.0,2022-01-11,2022-02-10,30
2022-01-11,Strawberry,3500.0,1500.0,2022-01-10,2022-01-20,10
2022-01-11,Water,58200.0,5000.0,2022-01-11,2023-01-11,365
2022-01-11,Paprika,105.0,439.5000000000002,2021-12-25,2022-12-25,365
2022-01-11,Paprika,105.0,5000.0,2022-01-08,2023-01-08,365
2022-01-11,Masala_Mix,790.0,349.0,2022-01-08,2023-01-08,365
2022-01-11,Masala_Mix,790.0,5000.0,2022-01-11,2023-01-11,365
2022-01-11,Syrup,6950.0,5000.0,2022-01-11,2022-07-10,180
2022-01-11,Lettuce,3480.0,1520.0,2022-01-10,2022-01-17,7
2022-01-11,Bread_Crumbs,2620.0,640.0,2022-01-09,2022-07-08,180
2022-01-11,Bread_Crumbs,2620.0,5000.0,2022-01-11,2022-07-10,180
2022-01-11,Milk,56350.0,5000.0,2022-01-11,2022-01-18,7
2022-01-11,Syrup_Sprite,2300.0,5000.0,2022-01-11,2022-07-10,180
